ID,Rate,Required,Icon,DescStringKey,Effect,Value
1,1,0,Skill_ATKUp,card.1.desc,ATKUp,105
2,1,1,Skill_ATKUp,card.2.desc,ATKUp,110
3,1,2,Skill_ATKUp,card.3.desc,ATKUp,115
4,10,3,Skill_ATKUp,card.4.desc,ATKUp,120
5,10,4,Skill_ATKUp,card.5.desc,ATKUp,125
6,9,5,Skill_ATKUp,card.6.desc,ATKUp,130
7,9,6,Skill_ATKUp,card.7.desc,ATKUp,135
8,8,7,Skill_ATKUp,card.8.desc,ATKUp,140
9,8,8,Skill_ATKUp,card.9.desc,ATKUp,145
10,7,9,Skill_ATKUp,card.10.desc,ATKUp,150
11,7,10,Skill_ATKUp,card.11.desc,ATKUp,155
12,6,11,Skill_ATKUp,card.12.desc,ATKUp,160
13,6,12,Skill_ATKUp,card.13.desc,ATKUp,165
14,5,13,Skill_ATKUp,card.14.desc,ATKUp,200
15,5,14,Skill_ATKUp,card.15.desc,ATKUp,250
16,12,0,Skill_Heal,card.16.desc,HEAL,10
17,10,16,Skill_Heal,card.17.desc,HEAL,20
18,8,17,Skill_Heal,card.18.desc,HEAL,30
19,12,0,Skill_Magnet,card.19.desc,MAGNET,125
20,10,19,Skill_Magnet,card.20.desc,MAGNET,150
21,8,20,Skill_Magnet,card.21.desc,MAGNET,200
22,12,0,Skill_Plus1,card.22.desc,PLUS1,2
23,10,22,Skill_Plus1,card.23.desc,PLUS1,3
24,8,23,Skill_Plus1,card.24.desc,PLUS1,4
25,12,0,Skill_Fire,card.25.desc,FIRERING,1
26,10,25,Skill_Fire,card.26.desc,FIRERING,2
27,8,26,Skill_Fire,card.27.desc,FIRERING,3
28,6,27,Skill_Fire,card.28.desc,FIRERING,4
29,12,0,Skill_Explosion,card.29.desc,EXPLOSION,10
30,10,29,Skill_Explosion,card.30.desc,EXPLOSION,25
31,8,30,Skill_Explosion,card.31.desc,EXPLOSION,50
32,12,0,Skill_FireBomb,card.32.desc,FIREBOMB,1
33,10,32,Skill_FireBomb,card.33.desc,FIREBOMB,2
34,8,33,Skill_FireBomb,card.34.desc,FIREBOMB,3
35,6,34,Skill_FireBomb,card.35.desc,FIREBOMB,4
36,12,0,Skill_EggUp,card.36.desc,EGGPROJECTILE,30
37,10,36,Skill_EggUp,card.37.desc,EGGPROJECTILE,45
38,8,37,Skill_EggUp,card.38.desc,EGGPROJECTILE,60
